Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
New Hampshire,999.0,9,1,0-3,3,0.0,-57.7,0-2,2,0.0,-11.3,0-1,1,0.0,-1.3,1-2,3,0.33,-4.9
Vermont State - Johnson,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-81.3,0-1,1,0.0,-62.0
Penn State,999.0,11,7,0-3,3,0.0,-23.3,1-1,2,0.5,3.1,2-0,2,1.0,8.2,4-0,4,1.0,25.8
Harvard*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-1.3,0-0,0,0.0,0.0
Columbia,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-30.2,0-0,0,0.0,0.0,1-0,1,1.0,8.9
Brown,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-19.4,0-0,0,0.0,0.0
Northwestern,999.0,8,6,0-1,1,0.0,-13.1,0-1,1,0.0,-7.9,1-0,1,1.0,2.8,5-0,5,1.0,38.3
Northeastern,999.0,8,4,0-0,0,0.0,0.0,2-1,3,0.67,7.0,1-0,1,1.0,3.8,1-3,4,0.25,-5.3
20Louisville,999.0,2,1,0-1,1,0.0,-16.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,19.7
Georgia Tech,999.0,6,4,0-2,2,0.0,-7.1,0-0,0,0.0,0.0,1-0,1,1.0,3.1,3-0,3,1.0,30.8
Massachusetts*,999.0,4,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,2.9,0-1,1,0.0,-6.3
New Haven,999.0,8,2,0-0,0,0.0,0.0,0-1,1,0.0,-31.0,0-4,4,0.0,-24.1,2-1,3,0.67,9.0
George Mason,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,13.2,0-0,0,0.0,0.0,1-0,1,1.0,21.5
Delaware State,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,0.6
Radford,999.0,3,2,0-1,1,0.0,-18.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,29.2
La Salle,999.0,5,2,0-2,2,0.0,-26.7,0-1,1,0.0,-8.2,1-0,1,1.0,7.6,1-0,1,1.0,36.6
Penn St Abington,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-76.6,0-1,1,0.0,-48.0,0-0,0,0.0,0.0
Sarah Lawrence,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-64.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Northern New Mexico,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-78.5,0-0,0,0.0,0.0
South Florida*,999.0,2,0,0-1,1,0.0,-3.9,0-0,0,0.0,0.0,0-1,1,0.0,-22.5,0-0,0,0.0,0.0
Wichita State*,999.0,3,0,0-1,1,0.0,-6.9,0-0,0,0.0,0.0,0-2,2,0.0,-9.4,0-0,0,0.0,0.0
Virginia Tech*,999.0,4,2,0-1,1,0.0,-17.7,0-1,1,0.0,-24.7,2-0,2,1.0,5.2,0-0,0,0.0,0.0
Incarnate Word,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-44.2,1-0,1,1.0,23.4
14Texas Tech,999.0,2,1,1-1,2,0.5,-1.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
17Kansas,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,34.0
Utah State*,999.0,3,3,1-0,1,1.0,7.0,1-0,1,1.0,25.8,1-0,1,1.0,40.6,0-0,0,0.0,0.0
DeSales,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-58.1,0-0,0,0.0,0.0
22Florida,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,30.6
Maine-Augusta,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-53.7,0-0,0,0.0,0.0
Nebraska,999.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,30.6
Nicholls,999.0,8,4,0-2,2,0.0,-29.5,0-0,0,0.0,0.0,0-1,1,0.0,-25.4,4-1,5,0.8,11.9
15Iowa State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,29.9,0-0,0,0.0,0.0
South Dakota,999.0,9,3,0-2,2,0.0,-44.5,0-1,1,0.0,-2.6,0-2,2,0.0,-30.4,3-1,4,0.75,5.8
Alfred State,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-81.5,0-0,0,0.0,0.0
9Michigan State,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,20.1
Towson,999.0,10,4,0-1,1,0.0,-29.0,0-1,1,0.0,-40.9,1-4,5,0.2,-7.2,3-0,3,1.0,23.7
Kean,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-2.9
Cheyney (PA),999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-46.5
Sam Houston,999.0,6,2,0-1,1,0.0,-13.9,0-1,1,0.0,-13.0,1-1,2,0.5,1.4,1-1,2,0.5,8.4
Kennesaw State,999.0,6,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-25.1,5-0,5,1.0,17.0
UNC Greensboro*,999.0,3,0,0-1,1,0.0,-12.4,0-0,0,0.0,0.0,0-1,1,0.0,-20.5,0-1,1,0.0,-8.5
Southern Illinois*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,24.4,0-0,0,0.0,0.0
Wilmington (DE),999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,10.6,0-0,0,0.0,0.0
4UConn,999.0,4,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,10.2,2-0,2,1.0,32.1
22St. John's,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,27.6,0-0,0,0.0,0.0
LSU*,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,31.0,0-0,0,0.0,0.0
Georgia Tech*,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-18.6,0-0,0,0.0,0.0
Fordham,999.0,2,1,0-1,1,0.0,-13.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,30.3
Georgetown*,999.0,1,0,0-1,1,0.0,-6.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Buena Vista,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-80.3,0-0,0,0.0,0.0
Simpson College (IA),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-56.9,0-0,0,0.0,0.0
Northern Arizona*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-8.1,0-0,0,0.0,0.0
Robert Morris,999.0,9,3,0-1,1,0.0,-61.0,0-0,0,0.0,0.0,1-3,4,0.25,-1.1,2-2,4,0.5,-6.8
17Michigan State,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,37.2
Cleary University,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-64.8,0-1,1,0.0,-57.1,0-1,1,0.0,-53.2
Kansas City,999.0,4,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.6,0-3,3,0.0,-23.2
Colorado-Colorado Springs,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-47.3
Alaska Anchorage,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-56.4
Colorado Christian,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-54.1,0-0,0,0.0,0.0,0-1,1,0.0,-53.3
Idaho State,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,17.8
Holy Family University,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-18.5
Virginia St*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,6.6
Tulane*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,3.4,0-0,0,0.0,0.0
Davidson*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,15.1,0-0,0,0.0,0.0
Hampton,999.0,4,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-2,3,0.33,-3.2,0-1,1,0.0,-20.8
Temple,999.0,9,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,6.1,5-1,6,0.83,18.1
Florida Atlantic,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,6.0
Grand Canyon,999.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-15.3,2-0,2,1.0,26.9
Nevada,999.0,5,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,7.7,2-0,2,1.0,30.1
Saint Mary's*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-1.3
Duquesne,999.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,8.6,1-1,2,0.5,14.6
Butler,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-13.6
Chaminade*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-36.2
23NC State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,13.4
Wichita State,999.0,12,8,1-0,1,1.0,7.5,1-0,1,1.0,7.2,0-2,2,0.0,-4.8,6-2,8,0.75,23.7
Montana State,999.0,7,3,0-1,1,0.0,-8.7,0-0,0,0.0,0.0,0-1,1,0.0,-4.5,3-2,5,0.6,2.0
Hawai'i Pacific,999.0,2,1,0-1,1,0.0,-15.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,1.2
12North Carolina,999.0,3,3,0-0,0,0.0,0.0,1-0,1,1.0,32.3,0-0,0,0.0,0.0,2-0,2,1.0,38.0
11Michigan State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,36.4
Elizabeth City State,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-1.3
Central State (OH),999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-28.3,0-1,1,0.0,-60.4,0-0,0,0.0,0.0
Northeastern*,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,8.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
19Texas Tech*,999.0,2,2,2-0,2,1.0,15.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
7Michigan State,999.0,2,1,1-1,2,0.5,10.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
15Florida,999.0,1,0,0-1,1,0.0,-1.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
24Kansas*,999.0,1,0,0-1,1,0.0,-17.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
UNC Wilmington,999.0,15,13,0-0,0,0.0,0.0,2-1,3,0.67,13.1,3-0,3,1.0,13.6,8-1,9,0.89,15.1
Syracuse*,999.0,4,1,0-2,2,0.0,-24.9,1-1,2,0.5,15.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Widener,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-40.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0
East-West University,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-102.7,0-0,0,0.0,0.0,0-2,2,0.0,-68.5
4Iowa State,999.0,2,2,1-0,1,1.0,5.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,29.5
1Purdue,999.0,4,3,0-1,1,0.0,-36.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,37.1
Tiffin,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-18.7
9Kentucky,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,67.1
New Orleans,999.0,8,2,0-2,2,0.0,-63.1,0-0,0,0.0,0.0,0-3,3,0.0,-13.0,2-1,3,0.67,1.0
Lamar,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,14.4
SE Louisiana,999.0,11,2,0-1,1,0.0,-20.6,0-3,3,0.0,-27.9,0-2,2,0.0,-9.7,2-3,5,0.4,-1.2
McNeese,999.0,5,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.5,4-0,4,1.0,28.2
Dallas Christian,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-76.7,0-2,2,0.0,-88.8
UL Monroe,999.0,15,1,0-3,3,0.0,-40.5,0-1,1,0.0,-27.6,0-3,3,0.0,-9.8,1-7,8,0.12,-12.4
Converse University,999.0,1,0,0-1,1,0.0,-81.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
16Iowa State,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,44.0
City College NY,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-101.9,0-1,1,0.0,-97.1,0-0,0,0.0,0.0
Oregon State*,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-10.7,0-1,1,0.0,-8.1,0-1,1,0.0,-5.4
Calumet,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-68.1,0-1,1,0.0,-70.4
Greensboro College,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-45.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Belmont Abbey,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-97.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Eastern Oregon,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-44.1,0-1,1,0.0,-22.5
12UCLA,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,11.9
Indiana University East,999.0,2,0,0-1,1,0.0,-58.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-87.0
Western Kentucky,999.0,11,7,0-0,0,0.0,0.0,0-2,2,0.0,-11.8,0-2,2,0.0,-19.0,7-0,7,1.0,11.0
5UConn*,999.0,2,2,1-0,1,1.0,19.8,1-0,1,1.0,6.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Providence*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-16.4,1-0,1,1.0,14.8,0-0,0,0.0,0.0
TCU*,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,4.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Saint Leo,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-81.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
George Mason*,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,13.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Loyola Marymount*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-18.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Albany St (GA),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-22.4
Florida Memorial*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-2.7
UCF,999.0,10,10,1-0,1,1.0,15.4,0-0,0,0.0,0.0,4-0,4,1.0,8.7,5-0,5,1.0,27.2
Saint Francis,999.0,9,1,0-1,1,0.0,-53.9,0-1,1,0.0,-57.6,0-2,2,0.0,-25.2,1-4,5,0.2,-16.7
Lehman College,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-67.9
Manor College,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-28.4,0-1,1,0.0,-86.0
St. Elizabeth,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-58.8
UMass Lowell,999.0,14,5,0-2,2,0.0,-72.4,0-3,3,0.0,-20.4,0-3,3,0.0,-9.4,5-1,6,0.83,9.7
Vermont,999.0,11,7,0-1,1,0.0,-5.8,1-0,1,1.0,18.8,2-2,4,0.5,-3.8,4-1,5,0.8,9.2
NJIT,999.0,12,4,0-2,2,0.0,-57.4,1-3,4,0.25,-39.2,1-2,3,0.33,-19.0,2-1,3,0.67,7.4
Elmira,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-66.6
Mercyhurst,999.0,9,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-3,3,0.0,-24.0,3-3,6,0.5,5.7
Pittsburgh,999.0,8,5,0-1,1,0.0,-9.6,1-1,2,0.5,-2.7,0-1,1,0.0,-12.0,4-0,4,1.0,33.7
Central Connecticut,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,1.7,1-0,1,1.0,25.3
Le Moyne,999.0,6,2,0-1,1,0.0,-45.4,0-0,0,0.0,0.0,0-2,2,0.0,-17.0,2-1,3,0.67,8.8
Canisius,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-29.2,0-0,0,0.0,0.0,1-0,1,1.0,13.8
Maryland Eastern Shore*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,15.6
Misericordia,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-59.9,0-1,1,0.0,-15.5
Georgetown,999.0,4,3,0-0,0,0.0,0.0,1-0,1,1.0,7.0,0-1,1,0.0,-8.7,2-0,2,1.0,26.8
Niagara,999.0,10,2,0-1,1,0.0,-113.5,0-1,1,0.0,-26.7,0-3,3,0.0,-17.0,2-3,5,0.4,-0.6
RIT,999.0,2,0,0-1,1,0.0,-23.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.9
Syracuse,999.0,11,9,0-0,0,0.0,0.0,1-1,2,0.5,5.1,2-1,3,0.67,7.0,6-0,6,1.0,29.0
Mount Saint Mary (NY),999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-112.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Texas A&M*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-16.0,1-0,1,1.0,45.6,0-0,0,0.0,0.0
UTEP,999.0,9,2,0-1,1,0.0,-7.7,1-1,2,0.5,2.1,0-3,3,0.0,-27.1,1-2,3,0.33,-5.1
Trinity College of Jacksonville,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-63.0,0-2,2,0.0,-92.5
Florida National,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-94.9,0-0,0,0.0,0.0
Fort Lauderdale,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-24.0,0-2,2,0.0,-51.2
Florida International,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,7.4
17Illinois,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,59.6
New College (FL),999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-73.2
21Tennessee,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-37.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
18Georgia,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-17.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
George Washington*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-13.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
20Tennessee,999.0,5,5,1-0,1,1.0,27.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-0,4,1.0,40.0
Brevard,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-18.9
SE Louisiana*,999.0,2,2,1-0,1,1.0,6.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,10.9
Navy*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,44.9
North Greenville,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-1.6
Bob Jones,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-64.1,0-2,2,0.0,-82.6,0-0,0,0.0,0.0
Ohio Christian,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-58.1,0-0,0,0.0,0.0
Columbia International,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-44.7,0-1,1,0.0,-73.8
San José State,999.0,7,2,0-3,3,0.0,-30.6,0-0,0,0.0,0.0,0-1,1,0.0,-18.0,2-1,3,0.67,3.8
Pepperdine*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-39.8,0-0,0,0.0,0.0
Fresno Pacific,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-56.5,0-0,0,0.0,0.0
Franklin Pierce*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-2.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Manhattanville,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-41.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Fort Valley State,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-47.4
Youngstown State*,999.0,2,1,0-0,0,0.0,0.0,1-0,1,1.0,8.3,0-0,0,0.0,0.0,0-1,1,0.0,-7.3
Johnson C Smith,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-27.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Xavier*,999.0,2,1,1-1,2,0.5,6.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
16North Carolina,999.0,2,2,1-0,1,1.0,5.2,0-0,0,0.0,0.0,1-0,1,1.0,29.0,0-0,0,0.0,0.0
St. Mary's (MD),999.0,2,0,0-1,1,0.0,-83.5,0-0,0,0.0,0.0,0-1,1,0.0,-74.8,0-0,0,0.0,0.0
Middle Tennessee*,999.0,2,0,0-1,1,0.0,-15.4,0-1,1,0.0,-18.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
McNeese*,999.0,1,1,1-0,1,1.0,6.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Ohio*,999.0,2,0,0-1,1,0.0,-28.6,0-0,0,0.0,0.0,0-1,1,0.0,-16.4,0-0,0,0.0,0.0
Catawba,999.0,1,0,0-1,1,0.0,-30.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Grambling,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-17.8,0-0,0,0.0,0.0,0-1,1,0.0,-11.5
Florida A&M,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.2
Oklahoma State,999.0,6,5,0-1,1,0.0,-19.5,1-0,1,1.0,6.4,0-0,0,0.0,0.0,4-0,4,1.0,15.6
Saint Louis,999.0,9,9,0-0,0,0.0,0.0,1-0,1,1.0,20.9,1-0,1,1.0,28.7,7-0,7,1.0,37.1
South Carolina State,999.0,11,1,0-3,3,0.0,-55.0,0-2,2,0.0,-49.7,0-2,2,0.0,-27.1,1-3,4,0.25,-14.4
25Indiana,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,53.7
Stony Brook*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-43.6,0-0,0,0.0,0.0,1-0,1,1.0,11.7
Jacksonville*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,7.7
Dayton,999.0,3,2,0-0,0,0.0,0.0,0-1,1,0.0,-12.8,0-0,0,0.0,0.0,2-0,2,1.0,32.5
Coastal Georgia,999.0,3,0,0-0,0,0.0,0.0,0-2,2,0.0,-54.6,0-0,0,0.0,0.0,0-1,1,0.0,-58.5
Miami,999.0,6,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,21.5,4-0,4,1.0,38.4
Drake,999.0,3,1,0-0,0,0.0,0.0,0-2,2,0.0,-20.0,1-0,1,1.0,13.1,0-0,0,0.0,0.0
Northern Iowa,999.0,7,5,0-0,0,0.0,0.0,0-2,2,0.0,-14.6,0-0,0,0.0,0.0,5-0,5,1.0,23.2
Southern Illinois,999.0,11,4,2-4,6,0.33,-5.2,0-2,2,0.0,-6.2,0-1,1,0.0,-22.0,2-0,2,1.0,21.9
Prairie View A&M,999.0,6,1,0-3,3,0.0,-25.3,0-0,0,0.0,0.0,0-2,2,0.0,-4.8,1-0,1,1.0,1.3
Centenary (LA),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-44.4,0-0,0,0.0,0.0
Hampton*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-11.8,0-0,0,0.0,0.0
Norfolk State*,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-16.5,1-0,1,1.0,12.0
